AGI code	Symbol	logFC	pVal	qVal
AT5G64100	AT5G64100	5.34E-01	4.43E-08	0.000002779
AT1G76210	AT1G76210	5.33E-01	3.20E-04	0.008349
AT4G22610	AT4G22610	5.31E-01	5.24E-04	0.01278
AT4G38825	SAUR13	5.31E-01	6.37E-04	0.01504
AT2G29460	GSTU4	5.29E-01	3.92E-04	0.009967
AT5G07440	GDH2	5.27E-01	2.34E-08	0.000001532
AT5G45280	AT5G45280	5.27E-01	2.59E-07	0.00001444
AT5G18060	SAUR23	5.26E-01	2.24E-04	0.006122
AT5G27220	AT5G27220	5.24E-01	5.59E-04	0.01352
AT4G13300	TPS13	5.23E-01	2.61E-04	0.006983
AT5G09805	IDL3	5.22E-01	7.55E-04	0.01719
AT2G23030	SNRK2.9	5.21E-01	6.97E-04	0.0161
AT5G05810	ATL43	5.20E-01	5.85E-04	0.01401
AT4G13195	CLE44	5.19E-01	8.22E-04	0.01851
AT1G18020	AT1G18020	5.18E-01	1.24E-04	0.003705
AT1G02400	GA2OX6	5.17E-01	1.70E-04	0.004862
AT3G20940	CYP705A30	5.16E-01	4.79E-05	0.001583
AT5G14730	AT5G14730	5.16E-01	6.11E-04	0.01451
AT4G38860	SAUR16	5.15E-01	6.05E-06	0.0002425
AT1G67750	AT1G67750	5.14E-01	8.83E-06	0.0003395
AT5G64780	AT5G64780	5.13E-01	6.82E-04	0.01581
AT2G01200	MEE10	5.13E-01	1.99E-04	0.00557
AT3G02620	AT3G02620	5.12E-01	1.09E-06	0.000054
AT4G37770	ACS8	5.12E-01	2.05E-04	0.005696
AT3G59900	ARGOS	5.10E-01	5.19E-07	0.00002746
AT4G21650	AT4G21650	5.10E-01	1.72E-05	0.0006188
AT2G17080	AT2G17080	5.09E-01	7.49E-04	0.0171
AT1G28330	DYL1	5.09E-01	2.64E-04	0.00706
AT2G47550	AT2G47550	5.09E-01	2.21E-06	0.00009992
AT1G77690	LAX3	5.06E-01	7.21E-10	0.00000006
AT3G02493	RTFL19	5.05E-01	1.52E-04	0.004417
AT2G42380	BZIP34	5.04E-01	3.23E-06	0.0001403
AT3G01970	WRKY45	5.02E-01	3.62E-04	0.00935
AT3G54000	AT3G54000	5.02E-01	2.53E-04	0.006788
AT3G28850	AT3G28850	5.01E-01	3.08E-04	0.008092
